NA, FW_VERSION, FW_DATE 
HP8720D,07.74,"Oct 30, 2002"
DATE, TIME,
" 6 Jul 2021 ","11:29:31",
CHAN,MEAS,FORMAT
2,S21,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,20050000000,
POINTS, POWER, IF_BW
401,0E0,3000
FREQUENCY,UNITS,
Hz,dB,
50000000,-83.85,
100000000,-97.167,
150000000,-105.64,
200000000,-89.74,
250000000,-96.849,
300000000,-85.173,
350000000,-84.922,
400000000,-88.85,
450000000,-97.482,
500000000,-104.8,
550000000,-111.18,
600000000,-95.927,
650000000,-90.835,
700000000,-97.021,
750000000,-94.441,
800000000,-99.004,
850000000,-91.252,
900000000,-94.822,
950000000,-91.208,
1000000000,-105.5,
1050000000,-91.733,
1100000000,-87.411,
1150000000,-93.061,
1200000000,-98.294,
1250000000,-97.821,
1300000000,-92.909,
1350000000,-91.205,
1400000000,-95.943,
1450000000,-83.487,
1500000000,-86.781,
1550000000,-90.009,
1600000000,-95.958,
1650000000,-92.992,
1700000000,-87.425,
1750000000,-86.859,
1800000000,-92.128,
1850000000,-102.61,
1900000000,-95.145,
1950000000,-90.483,
2000000000,-95.414,
2050000000,-88.399,
2100000000,-82.32,
2150000000,-91.57,
2200000000,-86.572,
2250000000,-97.2,
2300000000,-89.49,
2350000000,-90.582,
2400000000,-89.915,
2450000000,-87.274,
2500000000,-84.748,
2550000000,-87.731,
2600000000,-85.762,
2650000000,-98.552,
2700000000,-95.14,
2750000000,-100.96,
2800000000,-97.75,
2850000000,-91.091,
2900000000,-84.036,
2950000000,-92.308,
3000000000,-85.837,
3050000000,-92.711,
3100000000,-90.322,
3150000000,-97.936,
3200000000,-95.79,
3250000000,-90.472,
3300000000,-84.819,
3350000000,-90.968,
3400000000,-84.701,
3450000000,-90.452,
3500000000,-83.681,
3550000000,-85.643,
3600000000,-90.976,
3650000000,-91.352,
3700000000,-86.381,
3750000000,-89.395,
3800000000,-94.597,
3850000000,-97.607,
3900000000,-80.936,
3950000000,-89.39,
4000000000,-91.051,
4050000000,-89.046,
4100000000,-90.734,
4150000000,-88.339,
4200000000,-86.341,
4250000000,-88.718,
4300000000,-93.071,
4350000000,-91.591,
4400000000,-103.97,
4450000000,-96.901,
4500000000,-91.357,
4550000000,-95.292,
4600000000,-104.34,
4650000000,-92.362,
4700000000,-94.479,
4750000000,-108.14,
4800000000,-88.201,
4850000000,-90.007,
4900000000,-94.7,
4950000000,-88.917,
5000000000,-86.072,
5050000000,-85.412,
5100000000,-83.367,
5150000000,-87.15,
5200000000,-86.791,
5250000000,-88.423,
5300000000,-90.22,
5350000000,-79.272,
5400000000,-87.512,
5450000000,-84.867,
5500000000,-92.636,
5550000000,-84.183,
5600000000,-99.49,
5650000000,-89.861,
5700000000,-87.672,
5750000000,-93.903,
5800000000,-82.799,
5850000000,-90.161,
5900000000,-87.631,
5950000000,-92.731,
6000000000,-86.867,
6050000000,-85.531,
6100000000,-85.778,
6150000000,-89.97,
6200000000,-86.916,
6250000000,-79.796,
6300000000,-88.231,
6350000000,-84.164,
6400000000,-84.814,
6450000000,-84.821,
6500000000,-89.544,
6550000000,-91.699,
6600000000,-91.514,
6650000000,-87.465,
6700000000,-89.352,
6750000000,-82.474,
6800000000,-90.307,
6850000000,-86.693,
6900000000,-85.929,
6950000000,-94.135,
7000000000,-83.144,
7050000000,-95.27,
7100000000,-82.583,
7150000000,-85.256,
7200000000,-89.286,
7250000000,-82.862,
7300000000,-87.495,
7350000000,-85.641,
7400000000,-87.935,
7450000000,-94.604,
7500000000,-106.04,
7550000000,-89.871,
7600000000,-97.284,
7650000000,-87.205,
7700000000,-87.42,
7750000000,-84.281,
7800000000,-98.384,
7850000000,-90.679,
7900000000,-96.122,
7950000000,-85.255,
8000000000,-84.541,
8050000000,-89.914,
8100000000,-90.742,
8150000000,-102.62,
8200000000,-82.418,
8250000000,-89.102,
8300000000,-101.36,
8350000000,-82.782,
8400000000,-85.165,
8450000000,-101.22,
8500000000,-98.19,
8550000000,-81.27,
8600000000,-89.136,
8650000000,-83.322,
8700000000,-85.004,
8750000000,-98.151,
8800000000,-88.083,
8850000000,-92.321,
8900000000,-84.453,
8950000000,-81.445,
9000000000,-88.805,
9050000000,-89.505,
9100000000,-88.484,
9150000000,-90.03,
9200000000,-84.924,
9250000000,-95.28,
9300000000,-82.822,
9350000000,-84.046,
9400000000,-82.531,
9450000000,-85.454,
9500000000,-85.652,
9550000000,-86.264,
9600000000,-94.173,
9650000000,-80.965,
9700000000,-87.264,
9750000000,-91.291,
9800000000,-85.912,
9850000000,-98.137,
9900000000,-85.867,
9950000000,-83.765,
10000000000,-91.363,
10050000000,-85.968,
10100000000,-84.911,
10150000000,-83.389,
10200000000,-95.99,
10250000000,-91.862,
10300000000,-92.734,
10350000000,-90.55,
10400000000,-102.13,
10450000000,-99.477,
10500000000,-85.244,
10550000000,-89.604,
10600000000,-83.47,
10650000000,-89.174,
10700000000,-83.449,
10750000000,-89.14,
10800000000,-87.194,
10850000000,-85.221,
10900000000,-88.301,
10950000000,-87.614,
11000000000,-85.035,
11050000000,-91.406,
11100000000,-93.11,
11150000000,-96.012,
11200000000,-90.398,
11250000000,-82.363,
11300000000,-90.248,
11350000000,-94.592,
11400000000,-78.912,
11450000000,-98.106,
11500000000,-90.037,
11550000000,-96.737,
11600000000,-81.465,
11650000000,-88.111,
11700000000,-100.52,
11750000000,-85.565,
11800000000,-88.446,
11850000000,-93.247,
11900000000,-99.094,
11950000000,-93.305,
12000000000,-90.168,
12050000000,-86.496,
12100000000,-89.747,
12150000000,-83.006,
12200000000,-97.506,
12250000000,-83.061,
12300000000,-84.621,
12350000000,-88.461,
12400000000,-93.311,
12450000000,-80.729,
12500000000,-87.256,
12550000000,-83.118,
12600000000,-88.19,
12650000000,-83.722,
12700000000,-80.062,
12750000000,-86.268,
12800000000,-77.902,
12850000000,-87.957,
12900000000,-83.902,
12950000000,-83.431,
13000000000,-80.985,
13050000000,-86.27,
13100000000,-78.91,
13150000000,-81.965,
13200000000,-84.638,
13250000000,-86.238,
13300000000,-87.867,
13350000000,-83.601,
13400000000,-81.437,
13450000000,-80.338,
13500000000,-85.894,
13550000000,-78.044,
13600000000,-81.802,
13650000000,-80.667,
13700000000,-82.112,
13750000000,-78.053,
13800000000,-82.888,
13850000000,-80.22,
13900000000,-82.36,
13950000000,-80.893,
14000000000,-82.077,
14050000000,-89.125,
14100000000,-85.097,
14150000000,-77.472,
14200000000,-83.812,
14250000000,-82.641,
14300000000,-75.074,
14350000000,-79.494,
14400000000,-78.746,
14450000000,-83.517,
14500000000,-84.91,
14550000000,-78.383,
14600000000,-81.493,
14650000000,-77.209,
14700000000,-76.859,
14750000000,-88.249,
14800000000,-88.018,
14850000000,-85.715,
14900000000,-81.065,
14950000000,-87.02,
15000000000,-85.855,
15050000000,-82.84,
15100000000,-99.96,
15150000000,-92.847,
15200000000,-78.656,
15250000000,-83.526,
15300000000,-81.39,
15350000000,-92.531,
15400000000,-82.04,
15450000000,-76.709,
15500000000,-89.443,
15550000000,-84.076,
15600000000,-81.136,
15650000000,-101.35,
15700000000,-80.193,
15750000000,-79.388,
15800000000,-80.381,
15850000000,-94.094,
15900000000,-77.53,
15950000000,-78.332,
16000000000,-76.015,
16050000000,-73.877,
16100000000,-79.289,
16150000000,-76.227,
16200000000,-75.049,
16250000000,-75.568,
16300000000,-78.998,
16350000000,-99.116,
16400000000,-79.725,
16450000000,-79.668,
16500000000,-73.099,
16550000000,-84.934,
16600000000,-76.693,
16650000000,-74.249,
16700000000,-79.512,
16750000000,-90.739,
16800000000,-71.586,
16850000000,-69.646,
16900000000,-70.717,
16950000000,-79.017,
17000000000,-77.689,
17050000000,-70.823,
17100000000,-68.885,
17150000000,-68.334,
17200000000,-70.451,
17250000000,-69.18,
17300000000,-65.598,
17350000000,-63.365,
17400000000,-63.848,
17450000000,-63.897,
17500000000,-64.204,
17550000000,-64.443,
17600000000,-67.627,
17650000000,-68.814,
17700000000,-69.001,
17750000000,-73.186,
17800000000,-74.328,
17850000000,-78.582,
17900000000,-73.67,
17950000000,-72.717,
18000000000,-71.636,
18050000000,-76.153,
18100000000,-77.05,
18150000000,-79.519,
18200000000,-78.404,
18250000000,-81.665,
18300000000,-101.43,
18350000000,-76.514,
18400000000,-81.86,
18450000000,-74.994,
18500000000,-74.579,
18550000000,-79.038,
18600000000,-75.843,
18650000000,-76.693,
18700000000,-80.214,
18750000000,-83.302,
18800000000,-79.4,
18850000000,-80.528,
18900000000,-76.96,
18950000000,-75.879,
19000000000,-75.372,
19050000000,-79.353,
19100000000,-83.796,
19150000000,-84.845,
19200000000,-74.424,
19250000000,-80.441,
19300000000,-78.199,
19350000000,-75.893,
19400000000,-88.649,
19450000000,-87.991,
19500000000,-84.727,
19550000000,-77.988,
19600000000,-93.766,
19650000000,-86.084,
19700000000,-77.311,
19750000000,-79.935,
19800000000,-76.105,
19850000000,-82.004,
19900000000,-79.921,
19950000000,-81.883,
20000000000,-85.671,
20050000000,-84.979,

